RegionName,State,Metro,CountyName,SizeRank,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,AVERAGE,,Metro,Average
Halfmoon,NY,Albany,Saratoga,5067,308000,304700,304700,306450,301700,309900,306150,295000,300394.5,299949.5,309900,309900,304728.6667,,Beaumont,157541.0938
Hoosick Falls,NY,Albany,Rensselaer,5994,107450,99900,99900,94900,89900,89900,89450,89900,89000,89450,89450,89000,93183.33333,,Beaver Dam,143238.1319
Lebanon,OR,Albany,Linn,3624,154900,155000,157950,159900,162200,169500,169950,172000,169900,168700,170000,170000,165000,,Beckley,167645.8333
Leesburg,GA,Albany,Lee,2750,157500,159500,159900,159900,167500,169200,166950,164950,159900,158200,159900,159500,161908.3333,,Bedford,92889.58333
Malta,NY,Albany,Saratoga,3599,296900,296900,314950,315000,317500,330250,339900,321950,325900,318000,310115,315100,316872.0833,,Beeville,157140
North Greenbush,NY,Albany,Rensselaer,4758,225000,222499.5,239950,274900,274900,239900,259000,244950,260000,292400,294950,285400,259487.4583,,Bellefontaine,123325
Northumberland,NY,Albany,Saratoga,5532,222450,209900,204900,207900,207900,202200,194400,189900,189900,189900,184750,187500,199300,,Bellingham,332653.2333
Rensselaer,NY,Albany,Rensselaer,4127,,,,,,125950,133450,126900,133900,119000,119000,115900,124871.4286,,Bemidji,168437.5
Saratoga Springs,NY,Albany,Saratoga,1287,4.00E+05,419000,412000,420000,428000,439900,439450,439000,438500,425000,434900,449000,428729.1667,,Bend,364847.3006
Schenectady,NY,Albany,Schenectady,782,99900,94950,95900,99900,104000,104950,108900,107700,104900,103900,99900,99000,101991.6667,,Bennington,320118.75
Schodack,NY,Albany,Rensselaer,3617,244000,249900,249900,242400,242200,244700,244900,239000,244900,244450,250000,249900,245520.8333,,Berlin,98643.75
Scotia,NY,Albany,Schenectady,4590,129800,129900,139900,141200,142700,143700,139900,137500,135000,130950,129900,128850,135775,,Big Rapids,123982.4074
Slingerlands,NY,Albany,Albany,4535,368000,366350,352550,340650,350700,350200,347950,341400,352800,348400,356900,364500,353366.6667,,Big Spring,154158.3333
South Glens Falls,NY,Albany,Saratoga,5965,,,169900,169900,169900,169900,166000,169900,164900,164900,169900,162400,167760,,Big Stone Gap,122345.1556
Sweet Home,OR,Albany,Linn,4111,159900,156200,167900,173900,179900,164900,159900,159900,159900,167900,164950,159900,164595.8333,,Billings,252096.4286
Town of Coeymans,NY,Albany,Albany,7066,134900,145000,165000,162500,160000,159400,165000,159950,160000,165000,159900,148700,157112.5,,Binghamton,121114.9444
Town of Colonie,NY,Albany,Albany,571,259900,252500,249900,244950,241000,245000,239900,239900,238400,239150,239900,229900,243366.6667,,Birmingham,200191.9575
Town of Duane,NY,Albany,Schenectady,5712,,269699,274500,266799.5,266200,261700,259200,237500,265000,274749.5,279850,259900,265008.9091,,Bismarck,267913.3333
Town of Middleburgh,NY,Albany,Schoharie,5827,,,129950,134999,132499.5,129894,139900,144900,139900,129900,129900,125000,133684.25,,Blackfoot,124687.5
Town of Niskayuna,NY,Albany,Schenectady,1634,257266.5,270316.5,275950,270766.5,274000,274900,266633,259800,265400,249900,249000,249000,263577.7083,,Blacksburg,208726.2417
Town of Schaghticoke,NY,Albany,Rensselaer,4793,164250,170250,175000,178000,179900,179900,184900,169949.5,169450,169450,172000,164900,173162.4583,,Bloomington,149123.5972
Town of Stillwater,NY,Albany,Saratoga,4861,299900,304450,297000,279000,289000,289450,294450,291900,279250,265000,269500,259950,284904.1667,,Bloomsburg,120166.6667
Troy,NY,Albany,Rensselaer,892,124900,124175,127900,133950,139850,139900,142450,139000,134900,134900,135950,134950,134402.0833,,Bluefield,124952.0119
Watervliet,NY,Albany,Albany,3902,,,,,,,,,,139700,146450,138900,141683.3333,,Blytheville,85083.33333
Wilton,NY,Albany,Saratoga,4925,329900,342500,336950,349900,329900,329000,329450,323900,327700,326350,325950,327300,331566.6667,,Bogalusa,200575
Albemarle,NC,Albemarle,Stanly,2034,140000,129800,134900,142450,147200,146400,159500,159900,159000,150742.5,149900,149900,147474.375,,Boise City,247878.2685
Locust,NC,Albemarle,Stanly,6432,,,,183950,189900,197450,199500,199500,189515,189900,189900,192320,192437.2222,,Boone,253185
Norwood,NC,Albemarle,Stanly,5142,339000,339000,364450,359900,349950,349000,339000,299900,283250,287500,279950,270750,321804.1667,,Borger,125712.5
