area,bike_score,city,housing_cost,lat,lon,max_temp,min_temp,pop,pop_density,precipitation,rpp,state,transit_score,walk_score,wiki_url
45.2sqmi,58.5,Odessa,208200.0,31.8838,-102.3411,77.4,50.4,"117,871","2,608/sqmi",14.6,97.6,Texas,25.3,37.3,"https://wikipedia.org/wiki/Odessa,_Texas"
51.6sqmi,42.9,Wilmington,434000.0,34.2092,-77.8858,74.1,53.8,"117,525","2,278/sqmi",57.61,94.0,North Carolina,--,37.4,"https://wikipedia.org/wiki/Wilmington,_North_Carolina"
38.6sqmi,60.8,Arvada,386400.0,39.8337,-105.1503,73.6,52.0,"117,453","3,043/sqmi",55.85,99.2,Colorado,35,42.6,"https://wikipedia.org/wiki/Arvada,_Colorado"
77.8sqmi,51.6,Independence,144800.0,39.0855,-94.3521,57.1,34.7,"117,030","1,504/sqmi",28.71,97.8,Missouri,22.1,29.6,"https://wikipedia.org/wiki/Independence,_Missouri"
41.7sqmi,57,Provo,386100.0,40.2453,-111.6448,63.2,35.0,"116,868","2,803/sqmi",13.49,97.5,Utah,17.4,38.9,"https://wikipedia.org/wiki/Provo,_Utah"
39.1sqmi,45.5,Lansing,229500.0,42.7143,-84.5593,57.5,39.1,"116,020","2,967/sqmi",31.77,98.7,Michigan,36.7,50.9,"https://wikipedia.org/wiki/Lansing,_Michigan"
9.6sqmi,--,El Monte,466200.0,34.0746,-118.0291,63.7,35.8,"115,807","12,063/sqmi",11.32,89.6,California,--,26.9,"https://wikipedia.org/wiki/El_Monte,_California"
60.1sqmi,48.1,Springfield,131600.0,39.7911,-89.6446,67.1,45.5,"115,715","1,925/sqmi",45.57,87.8,Illinois,29.6,37.4,"https://wikipedia.org/wiki/Springfield,_Illinois"
40.9sqmi,48.1,Fairfield,553800.0,38.2593,-122.0321,76.9,53.6,"114,756","2,806/sqmi",6.47,115.9,California,29.6,37.4,"https://wikipedia.org/wiki/Fairfield,_California"
25.9sqmi,36.1,Clearwater,179700.0,27.9789,-82.7666,71.8,42.0,"114,361","4,415/sqmi",43.2,84.4,Florida,--,25.9,"https://wikipedia.org/wiki/Clearwater,_Florida"
48.2sqmi,72,Peoria,255700.0,40.7515,-89.6174,61.5,42.2,"114,265","2,371/sqmi",36.49,92.1,Illinois,50.8,64.7,"https://wikipedia.org/wiki/Peoria,_Illinois"
54.6sqmi,58.9,Rochester,201200.0,44.0154,-92.4772,57.2,39.3,"114,011","2,088/sqmi",34.27,97.6,Minnesota,42.8,64.6,"https://wikipedia.org/wiki/Rochester,_Minnesota"
37.7sqmi,39.1,Carlsbad,747400.0,33.1239,-117.2828,77.7,48.2,"113,952","3,023/sqmi",13.67,116.6,California,28.8,39.4,"https://wikipedia.org/wiki/Carlsbad,_California"
31.7sqmi,34.3,Westminster,323000.0,39.8822,-105.0644,63.0,41.6,"113,875","3,592/sqmi",42.21,91.3,Colorado,--,23.0,"https://wikipedia.org/wiki/Westminster,_Colorado"
32.3sqmi,44.9,West Jordan,286400.0,40.6024,-112.0008,68.1,45.4,"113,699","3,520/sqmi",46.22,87.8,Utah,--,45.0,"https://wikipedia.org/wiki/West_Jordan,_Utah"
46.3sqmi,39.1,Pearland,251500.0,29.5558,-95.3231,63.4,44.9,"113,570","2,453/sqmi",39.14,87.8,Texas,28.8,39.4,"https://wikipedia.org/wiki/Pearland,_Texas"
28.6sqmi,--,Richardson,273300.0,32.9723,-96.7081,70.0,47.4,"113,347","3,963/sqmi",44.73,90.7,Texas,--,51.4,"https://wikipedia.org/wiki/Richardson,_Texas"
12.4sqmi,--,Downey,471100.0,33.9382,-118.1309,64.1,48.4,"113,267","9,134/sqmi",16.12,84.9,California,--,26.9,"https://wikipedia.org/wiki/Downey,_California"
18.2sqmi,59.7,Miami Gardens,310600.0,25.9489,-80.2436,81.4,71.1,"113,058","6,212/sqmi",51.73,82.7,Florida,59.4,79.2,"https://wikipedia.org/wiki/Miami_Gardens,_Florida"
37.3sqmi,43.6,Temecula,417000.0,33.4931,-117.1317,71.8,48.5,"113,054","3,031/sqmi",43.73,87.8,California,22.7,39.5,"https://wikipedia.org/wiki/Temecula,_California"
15.7sqmi,58.5,Costa Mesa,780000.0,33.6659,-117.9123,84.3,64.5,"112,822","7,186/sqmi",53.23,81.1,California,25.3,37.3,"https://wikipedia.org/wiki/Costa_Mesa,_California"
51.0sqmi,50.8,College Station,355100.0,30.5852,-96.2964,79.2,58.9,"112,141","2,199/sqmi",40.06,93.5,Texas,47.1,59.5,"https://wikipedia.org/wiki/College_Station,_Texas"
37.4sqmi,42.9,Elgin,164100.0,42.0396,-88.3217,60.1,39.8,"112,123","2,998/sqmi",36.91,94.2,Illinois,--,37.4,"https://wikipedia.org/wiki/Elgin,_Illinois"
33.6sqmi,60.8,Murrieta,386500.0,33.5721,-117.1904,69.0,49.3,"111,674","3,324/sqmi",52.86,81.3,California,35,42.6,"https://wikipedia.org/wiki/Murrieta,_California"
23.3sqmi,39.2,Gresham,294700.0,45.5023,-122.4416,79.4,55.5,"111,523","4,786/sqmi",38.67,90.0,Oregon,27.3,29.1,"https://wikipedia.org/wiki/Gresham,_Oregon"
55.2sqmi,43.5,High Point,300700.0,35.9900,-79.9905,59.7,32.2,"111,223","2,015/sqmi",18.58,90.0,North Carolina,--,35.0,"https://wikipedia.org/wiki/High_Point,_North_Carolina"
29.4sqmi,42,Antioch,391000.0,37.9791,-121.7962,80.8,58.9,"110,898","3,772/sqmi",30.51,92.9,California,36.3,37.6,"https://wikipedia.org/wiki/Antioch,_California"
9.1sqmi,44.7,Inglewood,429900.0,33.9561,-118.3443,63.6,42.4,"110,654","12,160/sqmi",49.09,94.1,California,--,45.9,"https://wikipedia.org/wiki/Inglewood,_California"
6.4sqmi,53.1,Cambridge,256900.0,42.3760,-71.1187,63.4,38.6,"110,651","17,289/sqmi",41.74,110.3,Massachusetts,35.1,48.8,"https://wikipedia.org/wiki/Cambridge,_Massachusetts"
13.6sqmi,56,Lowell,222400.0,42.6390,-71.3211,58.6,39.7,"110,558","8,129/sqmi",43.16,90.6,Massachusetts,51.3,67.4,"https://wikipedia.org/wiki/Lowell,_Massachusetts"
33.1sqmi,58.9,Manchester,160400.0,42.9849,-71.4441,58.0,34.8,"110,506","3,339/sqmi",40.61,107.9,New Hampshire,42.8,64.6,"https://wikipedia.org/wiki/Manchester,_New_Hampshire"
43.7sqmi,28.6,Billings,234200.0,45.7885,-108.5499,59.5,36.8,"110,323","2,525/sqmi",13.66,98.8,Montana,25.3,35.4,"https://wikipedia.org/wiki/Billings,_Montana"
53.6sqmi,57,Pueblo,375300.0,38.2699,-104.6123,68.7,35.3,"110,291","2,058/sqmi",12.57,92.1,Colorado,17.4,38.9,"https://wikipedia.org/wiki/Pueblo,_Colorado"
65.7sqmi,53.2,Palm Bay,146300.0,27.9856,-80.6626,78.3,60.5,"110,104","1,676/sqmi",52.71,95.3,Florida,30.3,50.0,"https://wikipedia.org/wiki/Palm_Bay,_Florida"
29.5sqmi,37,Centennial,380900.0,39.5906,-104.8691,66.4,44.2,"109,932","3,727/sqmi",41.54,98.1,Colorado,43.2,50.4,"https://wikipedia.org/wiki/Centennial,_Colorado"
30.1sqmi,--,Richmond,200300.0,37.9523,-122.3606,70.0,47.4,"109,813","3,648/sqmi",44.73,96.1,California,--,51.4,"https://wikipedia.org/wiki/Richmond,_California"
21.8sqmi,39.2,Ventura,524700.0,34.2678,-119.2542,61.9,41.1,"109,592","5,027/sqmi",55.07,99.1,California,27.3,29.1,"https://wikipedia.org/wiki/Ventura,_California"
24.0sqmi,66.4,Pompano Beach,176400.0,26.2416,-80.1339,82.4,69.4,"109,393","4,558/sqmi",60.0,97.5,Florida,--,69.9,"https://wikipedia.org/wiki/Pompano_Beach,_Florida"
73.7sqmi,--,North Charleston,275900.0,32.9178,-80.0650,65.7,45.7,"109,298","1,483/sqmi",44.03,96.1,South Carolina,29.1,40.6,"https://wikipedia.org/wiki/North_Charleston,_South_Carolina"
33.3sqmi,49.9,Everett,308400.0,47.9566,-122.1914,57.6,44.8,"109,043","3,275/sqmi",36.05,94.2,Washington,31.2,41.3,"https://wikipedia.org/wiki/Everett,_Washington"
28.5sqmi,56.1,Waterbury,92500.0,41.5585,-73.0367,60.9,39.9,"108,272","3,799/sqmi",47.82,94.9,Connecticut,34.7,43.4,"https://wikipedia.org/wiki/Waterbury,_Connecticut"
55.1sqmi,45.9,West Palm Beach,205400.0,26.7464,-80.1251,83.0,67.8,"108,161","1,963/sqmi",62.33,106.8,Florida,19.7,32.9,"https://wikipedia.org/wiki/West_Palm_Beach,_Florida"
24.8sqmi,44.7,Boulder,236200.0,40.0270,-105.2519,45.9,24.9,"108,090","4,358/sqmi",28.39,110.1,Colorado,--,45.9,"https://wikipedia.org/wiki/Boulder,_Colorado"
16.0sqmi,44.9,West Covina,505100.0,34.0559,-117.9099,68.1,45.4,"107,847","6,740/sqmi",46.22,103.5,California,--,45.0,"https://wikipedia.org/wiki/West_Covina,_California"
61.7sqmi,39.6,Broken Arrow,210400.0,36.0365,-95.7810,77.4,54.2,"107,403","1,741/sqmi",54.02,94.6,Oklahoma,--,29.1,"https://wikipedia.org/wiki/Broken_Arrow,_Oklahoma"
