area,bike_score,city,housing_cost,lat,lon,max_temp,min_temp,pop,pop_density,precipitation,rpp,state,transit_score,walk_score,wiki_url
747.4sqmi,39.5,Jacksonville,139300.0,30.3369,-81.6616,74.9,54.8,"880,619","1,178/sqmi",49.54,93.2,Florida,--,26.8,"https://wikipedia.org/wiki/Jacksonville,_Florida"
46.9sqmi,75.1,San Francisco,1132000.0,37.7272,-123.0322,67.0,50.7,"870,887","18,569/sqmi",18.04,100.1,California,80.4,86.0,https://wikipedia.org/wiki/San_Francisco
218.5sqmi,46.5,Columbus,168800.0,39.9852,-82.9848,62.6,44.3,"860,090","3,936/sqmi",39.31,93.1,Ohio,31,40.7,"https://wikipedia.org/wiki/Columbus,_Ohio"
361.5sqmi,41.1,Indianapolis,378600.0,39.7767,-86.1459,62.5,43.9,"855,164","2,366/sqmi",42.44,93.1,Indiana,23.7,29.8,https://wikipedia.org/wiki/Indianapolis
342.9sqmi,40.2,Fort Worth,624500.0,32.7815,-97.3467,76.6,56.6,"854,113","2,491/sqmi",37.35,100.0,Texas,20.1,34.4,"https://wikipedia.org/wiki/Fort_Worth,_Texas"
305.4sqmi,36.1,Charlotte,268200.0,35.2078,-80.8310,71.2,50.1,"842,051","2,757/sqmi",43.79,98.1,North Carolina,--,25.9,"https://wikipedia.org/wiki/Charlotte,_North_Carolina"
83.8sqmi,63,Seattle,575500.0,47.6205,-122.3509,60.3,45.4,"704,352","8,405/sqmi",36.15,87.7,Washington,57,73.1,https://wikipedia.org/wiki/Seattle
153.3sqmi,71.3,Denver,373400.0,39.7619,-104.8811,62.9,36.2,"693,060","4,521/sqmi",17.35,81.2,Colorado,46.9,60.5,https://wikipedia.org/wiki/Denver
256.8sqmi,--,El Paso,155800.0,31.8484,-106.4270,77.5,51.7,"683,080","2,660/sqmi",9.71,89.3,Texas,--,41.5,"https://wikipedia.org/wiki/El_Paso,_Texas"
61.1sqmi,69.5,Washington,538400.0,38.9041,-77.0172,68.4,45.1,"681,170","11,148/sqmi",43.47,86.3,District of Columbia,70.6,77.3,"https://wikipedia.org/wiki/Washington,_D.C."
48.3sqmi,70.3,Boston,558600.0,42.3320,-71.0202,58.6,39.7,"673,184","13,938/sqmi",43.16,98.7,Massachusetts,74.4,80.9,https://wikipedia.org/wiki/Boston
138.8sqmi,55,Detroit,216700.0,42.3830,-83.1022,59.0,41.8,"672,795","4,847/sqmi",33.47,94.2,Michigan,37.9,55.4,https://wikipedia.org/wiki/Detroit
475.9sqmi,32.8,Nashville,232700.0,36.1718,-86.7850,69.8,49.0,"660,388","1,388/sqmi",47.25,93.0,Tennessee,23.1,28.3,"https://wikipedia.org/wiki/Nashville,_Tennessee"
317.4sqmi,42.3,Memphis,94200.0,35.1028,-89.9774,72.5,51.8,"652,717","2,056/sqmi",53.52,91.5,Tennessee,--,36.8,"https://wikipedia.org/wiki/Memphis,_Tennessee"
133.5sqmi,72,Portland,376300.0,45.5370,-122.6500,63.4,44.9,"639,863","4,793/sqmi",39.14,91.7,Oregon,50.8,64.7,"https://wikipedia.org/wiki/Portland,_Oregon"
606.3sqmi,39.8,Oklahoma City,173900.0,35.4671,-97.5137,71.8,50.0,"638,367","1,053/sqmi",35.74,92.1,Oklahoma,16,33.1,https://wikipedia.org/wiki/Oklahoma_City
134.4sqmi,52,Las Vegas,210000.0,36.2292,-115.2601,79.6,57.2,"632,912","4,709/sqmi",5.37,95.3,Nevada,33.4,41.1,https://wikipedia.org/wiki/Las_Vegas
263.5sqmi,42.6,Louisville,238300.0,38.1654,-85.6474,67.8,48.6,"616,261","2,339/sqmi",44.91,88.7,Kentucky,28.5,33.3,"https://wikipedia.org/wiki/Louisville,_Kentucky"
80.9sqmi,56.1,Baltimore,109000.0,39.3000,-76.6105,66.5,50.6,"614,664","7,598/sqmi",40.89,94.2,Maryland,57.8,69.4,https://wikipedia.org/wiki/Baltimore
96.2sqmi,--,Milwaukee,121000.0,43.0633,-87.9667,55.5,39.9,"595,047","6,186/sqmi",33.85,95.7,Wisconsin,49.1,62.1,https://wikipedia.org/wiki/Milwaukee
188.2sqmi,59.6,Albuquerque,197800.0,35.1056,-106.6474,68.8,45.5,"559,277","2,972/sqmi",9.45,97.4,New Mexico,30.2,42.7,"https://wikipedia.org/wiki/Albuquerque,_New_Mexico"
230.8sqmi,67.9,Tucson,172000.0,32.1531,-110.8706,82.9,55.5,"530,706","2,299/sqmi",14.9,97.0,Arizona,34.2,42.4,"https://wikipedia.org/wiki/Tucson,_Arizona"
114.4sqmi,55.9,Fresno,221400.0,36.7836,-119.7934,76.8,52.0,"522,053","4,563/sqmi",11.5,97.2,California,30.3,46.3,"https://wikipedia.org/wiki/Fresno,_California"
97.9sqmi,68.9,Sacramento,274700.0,38.5666,-121.4686,73.9,47.7,"495,234","5,059/sqmi",21.17,102.6,California,33.8,47.1,"https://wikipedia.org/wiki/Sacramento,_California"
137.9sqmi,58.5,Mesa,216600.0,33.4019,-111.7174,86.7,63.5,"484,587","3,514/sqmi",8.03,98.7,Arizona,25.3,37.3,"https://wikipedia.org/wiki/Mesa,_Arizona"
315.0sqmi,40.3,Kansas City,303800.0,39.1251,-94.5510,64.8,44.7,"481,420","1,528/sqmi",42.18,93.7,Missouri,28.7,34.2,"https://wikipedia.org/wiki/Kansas_City,_Missouri"
133.5sqmi,49.9,Atlanta,192000.0,33.7629,-84.4227,71.9,51.6,"472,522","3,539/sqmi",52.97,93.6,Georgia,44.3,49.2,https://wikipedia.org/wiki/Atlanta
50.3sqmi,66.4,Long Beach,494300.0,33.8092,-118.1553,74.1,55.4,"470,130","9,347/sqmi",12.26,117.6,California,--,69.9,"https://wikipedia.org/wiki/Long_Beach,_California"
195.6sqmi,46.4,Colorado Springs,242500.0,38.8673,-104.7607,62.2,35.8,"465,101","2,378/sqmi",16.54,100.2,Colorado,17.8,35.5,"https://wikipedia.org/wiki/Colorado_Springs,_Colorado"
145.1sqmi,40.6,Raleigh,228500.0,35.8306,-78.6418,71.7,50.0,"458,880","3,163/sqmi",43.34,95.8,North Carolina,22.6,30.1,"https://wikipedia.org/wiki/Raleigh,_North_Carolina"
36.0sqmi,59.7,Miami,272800.0,25.7752,-80.2086,81.4,71.1,"453,579","12,599/sqmi",51.73,99.1,Florida,59.4,79.2,https://wikipedia.org/wiki/Miami
244.7sqmi,45.9,Virginia Beach,242300.0,36.7800,-76.0252,69.1,50.7,"452,602","1,850/sqmi",44.31,98.0,Virginia,19.7,32.9,"https://wikipedia.org/wiki/Virginia_Beach,_Virginia"
133.2sqmi,40.8,Omaha,166900.0,41.2644,-96.0451,60.1,39.1,"446,970","3,356/sqmi",31.21,97.5,Nebraska,--,45.1,"https://wikipedia.org/wiki/Omaha,_Nebraska"
55.9sqmi,60.9,Oakland,640600.0,37.7698,-122.2257,67.0,50.7,"420,005","7,514/sqmi",18.04,90.2,California,55.1,72.0,"https://wikipedia.org/wiki/Oakland,_California"
54.0sqmi,81.3,Minneapolis,378600.0,44.9633,-93.2683,55.2,37.0,"413,651","7,660/sqmi",30.85,92.8,Minnesota,57.5,69.2,https://wikipedia.org/wiki/Minneapolis
196.8sqmi,43.6,Tulsa,417000.0,36.1279,-95.9023,71.8,48.5,"403,090","2,048/sqmi",43.73,91.0,Oklahoma,22.7,39.5,"https://wikipedia.org/wiki/Tulsa,_Oklahoma"
95.8sqmi,42.9,Arlington,579600.0,32.7007,-97.1247,66.8,49.6,"392,772","4,100/sqmi",39.74,90.0,Texas,--,37.4,"https://wikipedia.org/wiki/Arlington,_Texas"
169.4sqmi,60.1,New Orleans,207900.0,30.0534,-89.9345,77.2,63.7,"391,495","2,311/sqmi",56.77,95.6,Louisiana,--,57.6,https://wikipedia.org/wiki/New_Orleans
160.4sqmi,43.5,Wichita,146200.0,37.6907,-97.3459,67.7,45.6,"389,902","2,431/sqmi",34.34,90.7,Kansas,--,35.0,"https://wikipedia.org/wiki/Wichita,_Kansas"
77.7sqmi,50.8,Cleveland,129200.0,41.4785,-81.6794,59.6,43.3,"385,809","4,965/sqmi",39.14,84.4,Ohio,47.1,59.5,https://wikipedia.org/wiki/Cleveland
113.4sqmi,53.2,Tampa,189700.0,27.9701,-82.4797,81.9,65.6,"377,165","3,326/sqmi",54.7,87.8,Florida,30.3,50.0,"https://wikipedia.org/wiki/Tampa,_Florida"
148.8sqmi,48.1,Bakersfield,229900.0,35.3212,-119.0183,76.9,53.6,"376,380","2,529/sqmi",6.47,97.9,California,29.6,37.4,"https://wikipedia.org/wiki/Bakersfield,_California"
153.5sqmi,60.8,Aurora,280900.0,39.6880,-104.6897,60.1,39.8,"361,710","2,356/sqmi",36.91,89.7,Colorado,35,42.6,"https://wikipedia.org/wiki/Aurora,_Colorado"
60.5sqmi,45.2,Honolulu,217000.0,21.3243,-157.8476,85.1,68.2,"351,792","5,815/sqmi",18.1,124.5,Hawaii,55.6,63.7,https://wikipedia.org/wiki/Honolulu
50.0sqmi,51.9,Anaheim,519100.0,33.8555,-117.7601,72.0,55.9,"351,043","7,021/sqmi",13.33,89.5,California,35.4,54.5,"https://wikipedia.org/wiki/Anaheim,_California"
27.1sqmi,57.1,Santa Ana,451200.0,33.7363,-117.8830,72.0,55.9,"334,217","12,333/sqmi",13.33,90.9,California,46,66.1,"https://wikipedia.org/wiki/Santa_Ana,_California"
174.6sqmi,--,Corpus Christi,216300.0,27.7543,-97.1734,79.5,65.9,"325,733","1,866/sqmi",34.27,93.4,Texas,29.1,40.6,"https://wikipedia.org/wiki/Corpus_Christi,_Texas"
81.2sqmi,49.9,Riverside,356400.0,33.9381,-117.3932,78.6,48.7,"324,722","3,999/sqmi",13.29,106.7,California,31.2,41.3,"https://wikipedia.org/wiki/Riverside,_California"
283.6sqmi,43.7,Lexington,902200.0,38.0407,-84.4583,63.3,37.7,"318,449","1,123/sqmi",25.05,91.9,Kentucky,25.3,34.2,"https://wikipedia.org/wiki/Lexington,_Kentucky"
62.0sqmi,56.9,St. Louis,144400.0,38.6357,-90.2446,66.2,47.9,"311,404","5,023/sqmi",40.96,90.6,Missouri,45.2,64.5,https://wikipedia.org/wiki/St._Louis
61.7sqmi,53.9,Stockton,244400.0,37.9763,-121.3133,74.4,48.3,"307,072","4,977/sqmi",14.06,100.4,California,28.2,41.8,"https://wikipedia.org/wiki/Stockton,_California"
55.4sqmi,39.9,Pittsburgh,146700.0,40.4398,-79.9766,60.7,42.0,"303,625","5,481/sqmi",38.19,94.7,Pennsylvania,54.4,61.9,https://wikipedia.org/wiki/Pittsburgh
52.0sqmi,62.1,Saint Paul,185700.0,44.9489,-93.1041,55.7,35.8,"302,398","5,815/sqmi",29.96,93.9,Minnesota,47.4,58.9,"https://wikipedia.org/wiki/St._Paul,_Minnesota"
