GeoFips,GeoName,LineCode,Description,2015
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",1,RPPs: All items,90.2
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,97
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,71.6
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
13220,"Beckley, WV (Metropolitan Statistical Area)",1,RPPs: All items,79.7
13220,"Beckley, WV (Metropolitan Statistical Area)",2,  RPPs: Goods,91.5
13220,"Beckley, WV (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,54.2
13220,"Beckley, WV (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.7
13380,"Bellingham, WA (Metropolitan Statistical Area)",1,RPPs: All items,100.4
13380,"Bellingham, WA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.2
13380,"Bellingham, WA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,105.6
13380,"Bellingham, WA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,102.8
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",1,RPPs: All items,96.9
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",2,  RPPs: Goods,98.7
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,98.2
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.8
13740,"Billings, MT (Metropolitan Statistical Area)",1,RPPs: All items,98.8
13740,"Billings, MT (Metropolitan Statistical Area)",2,  RPPs: Goods,96.4
13740,"Billings, MT (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,98.2
13740,"Billings, MT (Metropolitan Statistical Area)",4,  RPPs: Services: Other,102.4
13780,"Binghamton, NY (Metropolitan Statistical Area)",1,RPPs: All items,95.1
13780,"Binghamton, NY (Metropolitan Statistical Area)",2,  RPPs: Goods,98
13780,"Binghamton, NY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,84.3
13780,"Binghamton, NY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,98.6
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1,RPPs: All items,89.2
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",2,  RPPs: Goods,97.1
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,69.2
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
13900,"Bismarck, ND (Metropolitan Statistical Area)",1,RPPs: All items,94.2
13900,"Bismarck, ND (Metropolitan Statistical Area)",2,  RPPs: Goods,97.5
13900,"Bismarck, ND (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,87.5
13900,"Bismarck, ND (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.6
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",1,RPPs: All items,89.4
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",2,  RPPs: Goods,91.5
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,80.9
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.9
14010,"Bloomington, IL (Metropolitan Statistical Area)",1,RPPs: All items,94.1
14010,"Bloomington, IL (Metropolitan Statistical Area)",2,  RPPs: Goods,97.1
14010,"Bloomington, IL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,88.2
14010,"Bloomington, IL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.3
14020,"Bloomington, IN (Metropolitan Statistical Area)",1,RPPs: All items,94.6
14020,"Bloomington, IN (Metropolitan Statistical Area)",2,  RPPs: Goods,97.3
14020,"Bloomington, IN (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,91.9
14020,"Bloomington, IN (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.4
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",1,RPPs: All items,93.7
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",2,  RPPs: Goods,98
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,78.9
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,98.6
14260,"Boise City, ID (Metropolitan Statistical Area)",1,RPPs: All items,95.2
14260,"Boise City, ID (Metropolitan Statistical Area)",2,  RPPs: Goods,96.3
14260,"Boise City, ID (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,81.8
14260,"Boise City, ID (Metropolitan Statistical Area)",4,  RPPs: Services: Other,102.5
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",1,RPPs: All items,110.3
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",2,  RPPs: Goods,100.9
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,141
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",4,  RPPs: Services: Other,107.2
14500,"Boulder, CO (Metropolitan Statistical Area)",1,RPPs: All items,110.1
14500,"Boulder, CO (Metropolitan Statistical Area)",2,  RPPs: Goods,101.6
14500,"Boulder, CO (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,144.4
14500,"Boulder, CO (Metropolitan Statistical Area)",4,  RPPs: Services: Other,101.3
14540,"Bowling Green, KY (Metropolitan Statistical Area)",1,RPPs: All items,85.7
14540,"Bowling Green, KY (Metropolitan Statistical Area)",2,  RPPs: Goods,91.5
14540,"Bowling Green, KY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,65.8
14540,"Bowling Green, KY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",1,RPPs: All items,106
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",2,  RPPs: Goods,106.5
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,111
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,102.7
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",1,RPPs: All items,120.1
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",2,  RPPs: Goods,110.9
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,146.4
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",4,  RPPs: Services: Other,118.2
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",1,RPPs: All items,84
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,97.4
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,56.6
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.9
15260,"Brunswick, GA (Metropolitan Statistical Area)",1,RPPs: All items,86.6
15260,"Brunswick, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,91.5
15260,"Brunswick, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,74.6
15260,"Brunswick, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.7
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",1,RPPs: All items,93.9
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",2,  RPPs: Goods,98
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,78.8
